col1,col2
924,44
479,9
99,33
54,25
228,32
214,43
416,49
451,12
764,13
158,23
410,6
639,38
64,15
158,8
96,30
373,36
989,5
243,18
377,17
278,1
174,20
415,16
295,31
932,14
654,28
48,27
359,35
225,21
186,7
532,37
169,24
929,46
698,29
384,41
119,3
507,42
768,19
294,11
110,46
456,11
420,8
497,37
84,18
676,36
786,16
266,2
552,49
200,29
301,23
374,31
219,7
153,4
733,9
244,41
522,50
416,13
901,34
248,12
993,27
354,17
590,30
696,1
912,15
487,44
141,39
265,25
147,20
787,28
568,3
725,40
820,22
403,24
767,21
110,33
787,43
750,19
500,35
678,48
564,26
413,45
682,6
726,14
800,10
766,47
242,42
20,5
924,32
268,38
474,8
843,32
535,27
307,12
427,26
869,25
197,1
600,4
168,17
721,43
167,21
427,22
155,41
60,42
921,28
779,44
857,15
470,37
659,18
379,36
294,19
979,48
94,20
692,6
970,50
345,23
690,13
329,46
389,14
889,49
476,35
434,7
700,39
888,24
258,29
783,40
514,38
217,33
989,45
747,3
293,2
911,34
761,30
425,10
983,16
879,9
217,47
997,5
31,11
531,31
444,17
384,36
631,50
623,5
101,2
405,38
806,43
328,35
765,7
63,45
976,11
824,3
41,22
940,24
359,33
283,28
399,8
185,39
184,9
280,37
595,32
288,34
548,31
370,10
940,46
74,47
104,18
919,23
539,15
781,49
470,19
465,14
959,21
668,40
190,30
691,29
356,26
966,4
103,20
321,6
206,1
484,25
897,41
685,12
831,48
584,27
801,44
146,16
748,13
470,42
560,12
926,38
339,22
794,49
449,40
119,13
74,44
858,10
106,4
623,29
278,26
187,37
936,33
433,47
645,9
57,5
760,19
806,28
471,34
792,18
803,39
395,42
728,41
537,43
87,35
968,27
160,16
753,20
478,36
12,48
306,32
924,50
434,7
367,11
11,14
496,23
611,30
38,8
531,21
327,15
130,45
654,2
287,31
316,17
835,6
670,24
155,1
838,25
152,46
615,3
983,43
98,31
177,11
345,2
303,45
298,39
239,17
323,38
136,24
920,46
949,41
116,27
424,26
367,15
433,18
559,5
638,48
984,12
23,16
379,30
952,23
637,6
585,3
117,19
481,35
72,50
560,40
549,13
31,28
292,20
387,36
319,32
442,8
617,10
558,21
415,1
312,14
280,47
386,25
772,34
283,37
212,22
722,33
714,7
498,49
299,42
58,9
947,29
771,44
186,4
597,12
461,29
422,34
992,41
509,22
673,46
615,25
435,40
698,15
785,5
578,11
776,47
703,36
785,17
611,44
15,2
858,23
462,13
687,24
997,39
338,14
947,4
686,16
252,21
549,50
873,38
626,18
325,19
408,28
815,6
834,35
767,26
747,45
822,48
760,1
716,49
332,33
381,37
766,3
87,43
232,27
774,7
211,42
911,8
383,20
16,32
670,9
629,30
162,10
488,31
732,33
167,40
267,42
137,27
971,21
852,2
827,43
783,32
269,44
818,34
693,19
63,6
105,38
968,17
617,41
864,1
360,50
797,9
6,4
961,48
687,29
603,39
308,35
537,28
566,30
226,8
47,7
243,36
307,18
856,37
581,16
505,10
108,26
445,5
701,49
436,25
268,13
369,15
469,11
310,20
61,22
42,23
568,14
857,24
91,45
427,12
998,47
795,46
211,31
167,3
324,26
336,42
980,23
462,46
940,50
655,4
201,10
665,2
988,24
413,38
798,8
241,13
511,36
269,31
932,47
37,5
389,1
92,49
66,29
170,32
550,9
298,14
381,40
932,28
72,18
246,7
967,33
913,35
809,45
437,41
334,48
871,15
250,30
353,22
935,6
428,37
723,12
753,27
271,16
520,3
798,17
862,34
704,25
50,44
740,39
901,11
447,20
856,21
191,19
611,43
575,12
247,11
952,31
99,40
885,7
109,39
805,14
572,15
164,22
544,20
186,10
776,41
910,27
588,4
206,8
319,45
941,30
31,18
386,36
378,48
192,28
267,19
348,2
994,49
133,26
820,3
230,6
598,46
729,17
90,35
652,44
614,33
195,50
456,25
946,43
529,9
382,38
342,5
282,42
964,47
593,13
30,37
788,32
437,1
474,23
284,24
822,29
133,34
948,16
41,21
636,18
202,15
190,50
646,49
6,23
47,30
681,1
566,21
22,41
16,45
37,43
539,47
480,17
446,40
161,19
282,2
593,4
506,38
378,48
856,35
224,34
791,46
918,22
762,27
832,29
998,24
200,14
210,31
781,42
102,13
647,8
341,5
601,33
250,37
32,10
785,26
526,32
505,11
945,20
920,25
950,6
104,7
999,44
200,16
672,28
454,39
759,3
568,9
895,36
551,12
805,19
994,21
538,20
256,7
785,9
69,25
121,48
275,42
43,28
469,44
690,27
711,31
849,43
166,4
3,41
248,26
694,5
442,35
19,1
604,15
996,34
115,29
774,45
614,6
94,39
358,8
872,24
273,14
646,30
100,32
465,22
340,11
781,18
381,47
72,17
898,3
594,10
861,36
56,23
813,2
749,50
731,46
255,16
753,33
949,37
785,38
986,12
938,49
463,13
738,40
739,30
447,33
942,2
872,50
829,23
986,24
215,49
783,18
838,45
315,32
457,5
908,13
556,17
345,7
840,27
423,8
947,11
464,15
148,29
678,34
799,28
223,43
861,41
455,46
590,42
239,36
655,25
352,39
425,9
133,22
729,3
55,1
747,14
673,38
198,16
131,31
886,37
869,19
587,20
162,21
483,47
231,12
702,4
173,6
597,10
818,48
699,35
714,26
838,44
209,40
72,18
273,35
926,11
2,17
182,26
512,36
889,38
888,22
580,47
142,27
670,29
529,37
207,10
49,5
313,6
666,2
587,30
715,50
641,42
338,14
767,9
994,31
756,1
504,15
155,46
328,23
229,41
159,16
119,21
619,34
48,12
608,3
624,7
845,4
13,8
773,28
636,25
536,39
189,20
159,24
984,45
51,48
483,19
278,33
118,13
816,40
760,49
387,43
18,44
5,32
600,36
277,26
162,25
955,34
426,20
566,44
724,48
206,50
831,16
938,8
326,42
653,22
107,47
880,13
520,29
106,2
882,41
645,38
207,35
512,19
140,3
360,4
744,27
319,28
112,23
993,32
295,18
260,24
420,9
196,31
21,37
10,43
509,11
676,14
402,5
108,15
92,40
484,21
104,1
215,10
979,46
540,6
797,7
619,39
656,33
994,49
718,12
799,30
187,17
947,45
757,25
827,1
877,19
426,15
370,34
544,13
345,17
80,23
11,8
185,46
138,28
214,48
55,24
80,38
772,33
792,7
477,4
506,47
840,32
501,37
762,50
845,9
36,39
557,49
88,36
923,21
844,6
999,16
248,44
150,22
437,26
383,18
70,27
127,14
905,35
433,43
588,2
348,3
698,5
872,20
775,42
100,10
509,31
149,45
18,12
876,40
456,41
573,30
88,29
965,11
105,37
422,43
708,2
1,38
532,9
5,18
113,20
881,34
2,13
642,14
546,41
535,21
740,3
337,49
285,33
425,24
259,40
427,6
559,50
93,26
902,45
856,42
278,28
675,22
905,44
501,5
636,35
860,23
171,15
874,32
954,47
267,46
441,29
958,11
392,4
161,10
283,12
49,36
657,1
748,48
672,25
426,16
350,7
820,31
994,17
229,27
611,39
510,30
565,19
875,8
624,2
832,33
622,47
108,34
755,32
448,44
843,23
120,25
666,13
741,27
99,22
172,49
727,8
971,39
315,31
37,30
53,17
469,43
922,48
469,37
458,10
143,6
467,50
63,20
791,19
604,5
711,9
934,45
851,36
341,41
278,7
238,24
443,35
225,21
644,42
650,18
782,40
231,28
934,14
453,29
670,38
669,26
808,12
165,46
579,11
857,4
512,16
598,1
49,15
983,3
470,30
516,32
748,23
175,8
824,7
515,38
124,9
467,45
107,36
98,29
192,14
421,42
953,10
843,28
80,11
393,18
439,25
338,15
441,22
628,37
708,43
228,50
851,4
284,2
256,1
552,12
205,49
581,26
891,39
774,13
483,44
120,46
64,20
24,47
739,27
654,40
838,19
118,6
315,24
620,41
539,48
43,31
503,34
472,35
139,3
829,21
499,16
463,33
773,17
719,5
339,46
27,15
801,12
556,4
750,28
393,36
163,21
769,41
10,2
926,26
919,50
25,31
391,39
226,24
520,25
143,38
366,5
517,30
646,42
724,43
731,22
204,19
976,9
384,32
809,14
549,17
227,48
922,37
368,33
782,49
956,1
894,18
350,29
702,23
586,7
71,27
68,11
211,6
545,10
773,47
618,45
563,13
869,35
633,8
772,44
620,3
507,34
498,20
163,16
786,40
437,35
649,14
807,17
929,3
127,10
331,43
481,30
323,1
169,48
254,29
532,25
910,23
900,41
861,16
150,21
570,46
368,22
448,50
625,44
658,7
773,38
689,2
486,4
445,12
580,33
585,5
636,37
512,49
529,8
598,18
850,34
265,24
878,15
55,32
850,39
59,42
241,9
582,40
395,45
603,47
54,13
508,26
560,20
845,19
251,28
61,27
117,6
141,31
800,36
360,11
988,19
197,36
573,15
639,49
337,33
684,43
673,6
865,47
770,11
260,31
671,10
219,44
550,24
473,4
164,17
196,42
401,13
920,46
79,34
136,12
835,29
126,26
635,7
773,16
737,27
558,22
94,32
427,18
60,5
532,37
607,40
988,2
494,20
8,3
357,35
904,48
382,8
468,39
163,9
672,1
898,30
944,50
400,28
686,25
93,45
311,23
446,41
361,14
955,21
758,38
139,3
117,42
977,35
616,36
259,48
491,47
683,32
636,49
844,46
462,50
378,20
951,15
534,5
85,18
755,8
343,23
345,24
78,45
139,44
393,29
56,41
846,40
295,1
841,38
231,7
637,9
722,12
629,19
770,22
718,26
629,21
529,13
518,10
65,33
554,17
951,2
663,25
938,11
712,39
288,14
126,43
307,16
481,37
687,28
988,30
597,6
393,27
787,4
719,34
275,31
614,22
721,30
199,10
53,21
71,9
715,36
849,2
256,5
87,6
297,41
478,37
199,17
289,8
817,38
127,27
102,11
328,4
56,35
478,49
274,45
367,20
47,23
959,29
953,39
904,28
686,18
393,7
694,43
717,15
551,44
872,12
916,19
689,40
223,32
410,48
328,42
174,26
696,47
834,13
440,14
924,33
580,31
721,3
273,16
19,50
5,24
429,25
647,1
255,34
659,46
452,48
52,39
492,46
855,32
864,47
757,22
772,12
257,7
892,23
73,21
136,15
147,4
277,9
466,24
884,38
956,28
820,29
897,45
897,8
523,43
488,20
967,5
864,3
369,18
575,49
552,41
734,50
706,10
99,27
259,40
565,11
87,2
668,25
194,31
164,37
559,36
925,30
590,26
469,35
332,44
713,17
651,6
210,42
710,13
185,34
344,19
869,1
440,16
65,33
666,14
964,42
429,31
922,46
741,15
418,12
252,35
159,5
340,48
187,9
736,1
519,14
890,29
431,39
888,7
149,37
635,27
765,45
491,13
448,28
71,44
849,21
866,4
205,32
381,19
761,3
417,38
216,49
943,18
9,23
538,30
210,8
518,50
733,10
788,6
569,2
121,20
43,41
213,26
96,22
812,47
965,40
143,25
982,11
47,34
78,16
110,24
726,33
615,36
457,17
723,43
889,39
67,38
243,15
696,7
489,32
317,19
885,29
647,12
184,37
372,50
967,18
772,34
311,26
156,31
8,8
461,33
253,20
244,30
383,1
663,45
796,4
601,35
445,24
968,41
899,23
703,42
236,6
754,46
909,3
983,9
426,17
407,47
814,28
510,27
682,2
673,48
469,14
406,43
415,10
711,40
298,44
17,16
277,25
637,11
732,13
153,5
636,22
897,36
212,49
173,21
657,45
21,5
699,6
458,14
774,31
777,26
391,36
271,9
220,3
357,48
189,25
456,16
483,30
972,21
819,44
320,15
438,37
597,43
304,2
796,34
939,33
369,50
759,11
50,29
12,22
355,4
435,10
813,35
191,8
458,23
822,39
749,27
349,40
789,1
892,47
739,49
646,7
907,46
915,19
628,38
547,12
888,17
786,42
204,32
247,13
746,28
808,41
587,18
674,20
556,24
194,34
984,7
295,12
435,2
372,15
377,50
679,14
973,31
718,19
474,16
12,18
251,24
633,22
181,49
291,23
244,5
651,27
715,3
362,8
180,11
189,28
379,21
45,40
918,38
814,36
807,26
130,35
903,1
540,44
45,17
114,32
530,37
389,29
671,6
334,45
936,9
821,4
833,20
477,47
335,13
286,30
577,43
663,39
691,33
313,10
923,46
496,48
398,41
817,25
984,42
220,42
840,38
601,31
563,1
332,47
112,12
902,9
977,36
86,20
738,11
253,46
723,14
265,44
878,39
956,13
577,7
116,37
917,32
216,27
958,4
625,6
865,35
621,40
309,8
569,19
79,22
779,45
231,43
572,28
101,25
992,2
328,15
552,5
239,10
255,49
528,33
471,26
600,23
335,17
58,21
223,29
378,16
659,18
924,34
599,30
147,24
24,41
101,48
229,50
565,3
199,12
933,24
313,38
737,7
223,44
116,33
791,3
117,36
347,31
534,32
105,49
343,48
208,22
529,42
651,41
9,2
717,37
429,45
437,21
304,28
880,27
580,46
848,11
987,29
202,40
433,30
224,8
163,15
346,14
869,25
359,16
995,9
982,1
526,18
728,13
588,23
124,43
405,6
674,19
157,17
160,20
991,34
420,50
727,26
603,39
106,5
847,35
784,4
703,47
390,10
51,14
105,7
150,33
717,23
736,44
316,22
252,49
637,45
630,11
212,8
51,21
706,19
439,27
845,18
51,1
700,47
525,24
621,50
208,25
313,20
582,4
798,48
5,6
651,31
131,3
928,13
683,26
700,40
38,30
153,32
36,37
250,5
786,12
381,46
102,39
491,36
945,15
972,9
432,43
59,38
736,2
218,34
888,35
204,10
715,28
712,41
930,17
394,29
922,16
211,42
25,50
154,25
920,26
513,46
734,19
804,42
665,34
910,24
976,15
481,44
72,2
239,1
610,13
479,37
163,48
281,4
91,49
629,6
234,47
748,45
379,21
589,41
516,35
489,31
391,43
325,28
371,5
407,32
332,20
548,39
58,11
152,14
717,38
6,8
82,7
458,27
318,17
568,22
852,9
657,23
171,12
344,36
805,18
701,16
130,30
917,33
792,10
542,3
132,40
337,29
93,29
631,19
402,7
662,41
985,10
537,15
464,42
584,17
683,27
834,37
653,13
832,16
575,8
594,30
505,25
778,6
253,9
295,33
353,46
614,12
334,1
505,20
748,45
931,40
127,23
399,11
41,5
829,31
423,36
661,47
205,18
287,21
162,44
294,24
539,3
922,43
380,26
81,50
881,34
365,4
537,49
138,14
992,32
53,48
343,38
70,39
439,22
421,35
82,28
518,2
469,46
788,3
695,37
807,45
92,14
42,15
632,29
2,22
67,17
840,50
147,13
608,5
578,20
20,10
652,9
515,44
612,26
236,2
899,48
157,34
807,8
82,11
795,23
403,28
52,43
936,7
344,27
621,1
7,36
39,24
490,49
867,33
557,41
530,38
422,35
953,30
265,32
166,19
402,39
92,16
913,40
659,6
42,12
173,31
48,21
609,25
655,18
197,47
91,42
614,4
681,18
106,31
60,15
245,37
888,12
514,17
725,25
179,28
765,5
550,6
82,23
427,24
188,32
438,8
970,45
942,30
536,46
838,26
406,34
21,27
677,47
499,43
645,41
721,10
75,36
530,13
820,22
406,3
159,38
705,21
705,9
760,35
536,2
933,14
844,39
146,49
134,20
380,33
61,48
378,7
38,40
808,29
366,50
445,42
907,44
728,19
376,4
685,16
383,1
215,11
100,27
318,48
70,38
15,32
847,17
480,50
112,12
305,8
94,11
664,41
844,6
799,39
688,16
523,13
476,22
412,15
985,47
702,4
602,21
571,1
494,34
725,35
885,9
290,37
26,10
290,49
420,23
229,43
490,2
947,24
729,25
819,33
405,18
822,40
545,26
307,3
585,30
887,45
859,28
944,20
790,31
955,7
727,19
45,46
882,29
552,44
623,42
104,14
121,36
96,5
494,40
441,18
367,22
210,3
989,9
738,42
477,19
383,45
129,23
966,36
179,20
911,31
871,49
968,7
529,12
723,26
695,8
196,6
373,44
548,38
195,37
101,13
832,14
357,16
15,5
916,33
953,34
98,50
482,46
878,4
355,43
705,32
944,17
456,39
70,28
449,25
709,24
339,10
86,2
328,11
815,48
760,27
941,30
797,29
292,15
146,35
162,41
385,47
669,1
884,21
366,19
561,4
36,49
144,37
501,40
869,7
844,36
124,1
6,8
745,21
319,48
418,47
268,31
548,38
428,42
47,50
424,15
724,11
851,30
488,23
627,27
580,16
930,33
307,24
19,10
987,46
625,39
885,26
502,13
360,17
903,14
344,2
865,20
779,45
311,5
479,43
408,35
778,28
697,25
407,9
895,44
718,12
7,34
34,3
761,6
904,18
748,32
366,22
658,29
239,41
637,11
382,30
681,40
527,20
815,12
620,3
122,17
541,14
712,10
164,2
320,49
762,6
709,1
785,34
949,38
59,42
80,46
875,25
437,9
74,27
421,23
454,32
102,24
650,18
587,16
347,37
224,47
504,26
683,39
195,48
940,33
91,29
430,50
44,35
719,36
472,5
317,13
233,21
491,15
801,44
613,22
285,7
629,41
69,4
956,31
954,43
855,19
239,45
506,28
958,8
257,23
359,20
772,33
140,38
315,7
881,24
900,32
416,39
538,17
573,48
321,46
137,19
438,29
900,9
309,12
946,11
465,41
3,37
119,1
491,8
86,18
312,2
34,50
743,36
971,6
961,16
718,15
716,44
435,49
612,34
636,42
655,27
548,14
424,26
820,25
992,45
723,40
991,35
267,22
79,3
385,47
78,43
447,30
703,31
358,28
267,4
678,5
315,10
945,21
283,13
127,14
140,28
795,9
556,18
931,12
179,5
646,2
267,42
206,38
144,34
32,36
551,30
702,39
920,27
710,20
150,26
87,40
973,3
855,8
250,15
848,43
816,21
931,7
572,23
262,10
873,17
288,45
896,24
82,44
452,47
736,37
251,33
827,50
966,19
741,46
487,1
93,48
91,41
448,4
625,29
807,16
461,13
811,22
901,25
636,32
794,11
115,31
660,35
419,6
444,49
340,40
313,25
472,41
887,27
460,2
656,23
421,35
136,37
239,18
348,7
920,14
894,46
625,39
475,24
389,11
720,47
697,3
58,36
903,34
418,49
115,48
228,20
73,45
39,4
130,28
22,32
197,9
194,17
536,15
69,21
636,19
105,16
436,13
794,26
185,6
43,44
730,43
169,22
298,5
778,31
892,29
34,50
359,30
356,12
469,1
455,8
520,10
219,33
945,38
423,42
103,42
726,9
251,12
272,30
333,36
660,25
884,43
674,27
450,46
280,48
534,21
406,32
454,17
741,26
49,19
881,35
421,50
159,40
928,16
713,39
504,41
375,44
955,1
963,23
111,18
317,8
102,10
698,15
704,7
45,5
962,45
249,29
285,14
500,2
430,28
744,4
444,37
760,13
589,49
706,3
427,6
443,38
982,20
570,31
546,22
684,24
907,47
997,33
732,11
656,34
954,19
240,38
100,3
97,24
47,45
230,6
151,49
984,10
186,36
909,18
668,41
706,47
280,26
849,34
726,43
454,22
32,44
938,11
990,31
874,14
885,20
387,30
933,48
355,1
649,33
978,21
601,37
341,4
260,42
489,35
34,8
496,16
580,23
948,29
345,7
615,2
683,32
361,46
692,40
931,12
570,50
486,28
156,5
125,9
67,25
998,39
622,13
342,17
900,27
969,15
688,12
794,42
679,31
716,6
578,32
967,29
185,40
526,19
459,34
921,9
172,47
939,2
582,1
649,4
789,27
313,41
88,21
611,46
64,35
419,44
450,24
105,7
830,3
771,48
171,10
289,14
154,26
539,17
601,20
526,8
486,39
53,16
863,25
345,50
206,45
966,36
997,38
475,5
977,22
333,23
55,18
569,33
328,37
29,30
625,49
238,28
712,15
283,43
233,11
235,13
595,2
604,5
976,3
116,48
675,50
991,12
446,49
600,30
159,25
684,34
423,35
399,36
71,15
668,14
825,1
68,37
540,39
894,11
607,40
79,13
618,4
194,45
258,41
845,28
699,29
2,31
921,47
840,33
594,38
776,26
683,20
143,18
867,9
624,43
573,19
124,8
674,7
642,27
678,6
599,17
353,32
504,46
705,24
499,44
243,23
672,42
570,16
229,10
180,22
378,21
504,41
442,28
412,40
53,23
163,7
628,29
72,16
95,19
804,44
282,21
703,48
27,18
236,5
529,43
421,2
204,38
768,10
664,45
146,32
958,12
242,36
400,20
453,22
304,3
152,14
196,42
312,37
467,26
636,31
358,35
38,46
147,50
147,33
461,6
974,39
25,13
585,11
684,25
875,15
130,47
650,24
679,4
150,9
549,17
878,1
549,8
8,27
303,30
217,49
869,34
484,17
116,11
796,42
179,2
770,27
746,14
279,49
72,10
778,3
488,34
460,16
496,13
558,28
380,26
449,1
934,36
203,37
832,24
589,22
492,40
266,4
314,8
707,21
141,46
400,5
554,31
290,32
51,44
346,19
585,35
416,20
235,38
109,9
162,18
695,48
140,29
208,25
795,7
788,30
432,41
854,43
763,45
569,39
570,15
730,33
992,23
324,6
643,47
883,50
900,12
683,46
210,31
527,44
380,11
822,43
787,41
81,1
758,13
87,17
723,18
382,37
599,22
438,34
104,20
206,27
247,33
486,9
210,29
25,12
709,3
817,32
499,45
50,23
358,35
575,19
570,2
85,14
207,48
403,7
405,38
258,47
343,15
383,24
494,10
919,49
654,28
217,4
949,36
369,42
211,5
518,6
662,25
724,26
497,40
933,39
585,16
295,8
167,21
426,50
819,30
89,28
753,2
152,39
857,47
482,41
501,26
794,40
855,15
259,32
266,19
80,1
836,7
823,8
204,50
237,16
491,25
264,12
483,20
485,33
872,27
872,14
691,3
579,37
136,49
2,35
744,38
284,43
324,36
138,24
509,11
197,23
49,5
869,42
239,13
82,45
481,48
597,46
835,21
713,22
863,34
585,4
658,9
237,44
100,10
933,6
877,30
17,17
315,18
593,29
390,31
940,44
240,4
44,1
366,40
504,42
949,16
266,21
223,24
725,31
818,48
73,35
327,20
313,30
177,17
260,39
875,33
682,15
366,37
579,13
813,12
1,46
416,38
865,8
264,18
90,36
315,3
689,19
410,10
217,49
846,23
21,26
830,27
500,43
192,7
418,29
66,45
631,28
369,11
632,5
275,41
228,25
93,47
233,14
762,32
976,22
455,6
213,2
534,50
94,34
410,9
634,32
634,21
516,48
562,4
855,42
820,34
754,31
83,22
984,27
531,15
115,28
905,50
242,18
309,39
725,16
611,35
287,30
530,41
696,46
609,29
864,19
465,37
680,36
279,6
284,25
372,49
403,23
59,5
120,17
942,3
477,20
448,12
637,13
913,10
223,45
664,11
653,7
995,47
323,33
87,8
15,43
65,26
593,1
445,24
563,14
660,44
721,38
874,9
499,2
485,40
305,38
459,45
574,6
52,12
61,5
944,29
768,39
469,14
121,33
717,32
508,37
714,4
563,10
161,18
308,42
645,22
204,2
288,23
414,43
245,26
532,1
900,9
328,13
489,50
858,31
348,24
891,28
836,16
416,17
460,30
18,49
388,25
792,40
591,27
368,36
244,48
741,46
505,19
178,34
356,20
804,35
735,7
308,21
46,47
198,15
911,41
678,3
172,11
256,44
295,8
546,13
649,10
541,17
256,8
283,45
191,30
721,5
973,6
435,49
24,3
793,1
234,24
866,15
493,41
345,19
147,47
877,16
828,18
272,43
348,25
173,12
493,38
198,40
89,48
321,44
182,34
105,27
643,22
70,14
147,42
566,23
211,2
152,29
814,26
768,46
185,11
299,50
161,28
736,37
940,21
152,35
405,7
844,33
987,32
448,39
550,31
99,20
656,9
925,36
161,4
449,10
773,36
426,21
862,28
569,6
896,46
927,5
557,17
355,11
940,31
751,48
880,19
64,25
877,44
215,33
798,49
585,23
94,32
826,27
406,41
215,50
111,35
38,40
684,9
674,1
828,2
570,18
868,39
189,14
588,15
620,13
606,12
86,30
746,45
945,22
225,24
873,8
249,34
746,16
99,47
967,29
983,20
190,43
304,7
210,42
223,37
895,26
67,38
822,4
679,3
8,39
705,42
346,8
460,9
147,13
923,11
442,20
651,24
457,44
590,7
140,35
851,23
599,3
402,38
306,26
900,43
344,33
23,12
706,21
408,48
601,37
375,5
840,27
249,40
303,41
487,2
420,34
657,29
501,25
749,17
981,16
466,30
258,18
543,14
647,6
785,1
523,15
111,47
83,32
934,36
950,45
851,31
882,4
472,22
554,46
400,28
390,50
245,10
865,19
747,49
210,17
351,49
343,12
802,23
563,5
672,11
857,25
59,41
682,4
424,24
363,38
313,13
680,18
709,42
398,33
689,16
972,10
529,3
981,26
923,48
553,9
926,28
902,29
781,22
287,45
715,44
256,2
490,47
452,27
377,6
729,37
105,1
415,43
798,46
678,40
545,34
7,14
195,19
652,32
132,15
557,30
776,21
759,31
537,20
516,50
323,7
803,39
391,35
728,8
655,36
189,34
323,30
707,39
506,8
728,29
909,42
634,18
956,25
430,14
657,17
231,24
602,28
768,27
38,11
211,44
504,33
578,49
10,40
464,26
342,38
328,50
995,47
281,19
731,7
623,1
966,6
282,36
142,5
778,31
222,9
493,32
680,3
914,22
777,21
705,41
508,12
644,43
880,48
568,2
45,45
573,4
957,10
590,13
543,35
5,16
79,37
78,46
453,23
369,15
832,20
321,26
779,12
549,37
714,10
736,45
434,38
342,24
601,17
679,21
990,6
402,31
31,41
505,47
144,44
561,2
823,3
372,19
40,16
627,22
564,14
6,50
467,4
219,28
708,27
962,39
270,11
114,30
636,1
479,7
148,49
860,18
905,9
204,5
862,25
16,35
347,40
185,32
948,20
764,23
879,42
209,13
611,46
80,33
113,8
234,36
381,48
23,43
489,34
957,29
576,15
573,38
704,39
997,27
775,33
91,6
29,32
460,45
816,49
722,12
37,47
604,44
842,20
40,9
753,26
592,14
781,15
242,25
413,21
666,3
441,28
653,10
412,7
155,5
76,41
819,43
825,42
544,35
123,50
182,34
274,13
645,30
172,24
28,31
845,8
786,46
150,48
945,36
506,40
471,11
194,2
288,18
557,23
78,19
411,16
257,1
578,4
14,17
492,22
668,29
338,37
369,21
520,47
813,20
688,9
392,48
411,33
379,28
35,8
418,10
527,6
465,4
366,41
309,39
173,16
222,23
6,42
807,49
480,30
723,35
978,43
627,29
319,1
685,50
656,34
168,31
782,45
556,13
831,26
422,12
264,2
690,37
584,46
589,44
495,27
49,40
765,15
596,32
872,22
510,7
625,5
173,19
348,25
308,11
799,3
961,24
581,17
445,18
891,14
572,36
411,38
322,14
496,45
424,1
666,26
46,28
279,5
742,34
737,46
779,49
480,18
608,50
976,48
366,22
956,15
175,11
483,40
95,3
186,25
384,2
553,43
447,9
438,21
735,38
472,30
811,12
433,23
931,31
185,37
436,13
948,29
160,16
949,36
427,35
640,39
14,41
258,27
389,6
211,47
743,8
209,10
224,32
98,33
570,20
656,42
556,24
506,7
182,4
805,17
228,19
383,44
487,5
865,22
240,32
75,21
802,27
689,24
743,36
778,28
995,30
581,15
895,46
722,35
135,13
604,17
717,26
789,34
430,2
966,40
246,3
159,37
318,6
205,47
352,44
271,19
920,25
833,33
638,10
598,48
630,43
270,41
840,7
954,23
388,14
981,20
952,31
887,1
287,11
103,29
754,45
347,4
371,9
125,8
250,49
856,12
52,42
277,50
894,16
192,38
627,18
148,39
441,11
710,41
225,38
343,24
569,31
845,36
175,39
235,22
503,28
486,32
757,12
113,29
702,26
956,33
666,27
877,5
572,40
570,48
3,45
275,13
901,35
52,19
283,8
448,50
821,10
723,14
445,9
276,43
51,25
648,6
254,7
69,15
727,16
769,42
796,47
290,3
894,49
962,37
916,46
731,17
337,20
631,23
703,21
45,34
336,1
331,2
727,18
